DE0,DE2,DE3,DE4,DE5,DE6,DE7,DE18,DE19,DE22,DE25,DE26,DE38,DE39,DE41,DE42,DE48,DE49,DE55,DE60,DE61,DE90,DE127,DE300,DE301,DE1004,DE2004,DE3004,DE4004,DE5004
,2344933269809144,000000,000000097697,000000097697,000000097697,0101010000,4121,524,901,59,04,u92699,12,70015020,GROFERS11797900,9799048778569,586," ",WEB,mastercard,80108127241c83290c3664d9f7d2f5e51f4afd6112," ",2,,,,,,
,6011784160071380,000000,000000023699,000000023699,000000023699,0101020000,3441,356,901,59,04,x15479,12,70011803,CLEARTRIP689430,9785977475594,356," ",WEB,rupay,b096d3e57618ae9b58c280e0f319e0956c3d8ca912," ",1,,,,,,
,4539433150521313,000000,000000013040,000000013040,000000013040,0101060000,5533,586,901,59,04,b54968,12,70007469,PAYUPAISA477790,9799621504356,586," ",WEB,visa,099fe1a1772fed4e9ea6a529036b2a3af1d55bc112," ",3,,,,,,
,6011779343779347,000000,000000022243,000000022243,000000022243,0101060000,3055,144,901,59,04,r19900,12,70015020,GROFERS11797900,9798776675836,356," ",WEB,rupay,72694a5bf32cdcac35d08d18461f822a202c913912," ",2,,,,,,
,6011145133101896,000000,000000005678,000000005678,000000005678,0101100000,3127,144,901,52,04,g72174,12,70007469,PAYUPAISA477790,9781774728130,144," ",WEB,rupay,9a45a3b1f382fa711948a55c831deac56feff4d612," ",3,,,,,,
,2344933269809144,000000,000000024226,000000024226,000000024226,0101130000,3260,144,901,52,04,x61463,12,70007469,PAYUPAISA477790,9794275685390,356," ",WEB,mastercard,2836672acb6cbca7601d8210f1f972b525b9a94a12," ",3,,,,,,
,4024007131668708,000000,000000013194,000000013194,000000013194,0101170000,3072,524,901,52,04,k83299,12,70015020,GROFERS11797900,9790497792670,356," ",WEB,visa,3ef72982895556adcd8869fea41fa4aaf726dacf12," ",2,,,,,,
,4485175065737146,000000,000000013720,000000013720,000000013720,0101180000,3821,356,901,52,04,c76817,12,70015020,GROFERS11797900,9795719583463,524," ",WEB,visa,b1cca3b36b1f092ea5dd637dcb3730a7218be0cb12," ",2,,,,,,
,5429333376678279,000000,000000078473,000000078473,000000078473,0101190000,3351,524,901,52,04,u33447,12,70015020,GROFERS11797900,9782319110809,356," ",WEB,mastercard,d082ab5ef182144a42e91031a1dcca88e04f149012," ",2,,,,,,
,2643768856440939,000000,000000021588,000000021588,000000021588,0101190000,3094,356,901,59,04,l54727,12,70011803,CLEARTRIP689430,9789820571983,356," ",WEB,mastercard,85876bc3e887e0adf1348efa3cb39d90c51fdb5612," ",1,,,,,,
,4716678214231755,000000,000000012349,000000012349,000000012349,0101210000,3385,356,901,59,04,w24958,12,70015020,GROFERS11797900,9789604599721,586," ",WEB,visa,5e5899fecf48d7340eaeba2bde5dd712d60b670312," ",2,,,,,,
,4024007118253748,000000,000000013178,000000013178,000000013178,0101210000,4789,356,901,52,04,a75212,12,70007469,PAYUPAISA477790,9786160049325,524," ",WEB,visa,9ca19b078059dd37d449a27ac76c0bcd85e9c9f612," ",3,,,,,,
,6011829226382360,000000,000000014397,000000014397,000000014397,0102020000,3033,356,901,59,04,h61292,12,70011803,CLEARTRIP689430,9781962407182,356," ",WEB,rupay,2176d97adc44d5771e49d9c6a429782aa532f70612," ",1,,,,,,
,2415235660628550,000000,000000023367,000000023367,000000023367,0102030000,3351,586,901,52,04,d48498,12,70011803,CLEARTRIP689430,9787402828050,356," ",WEB,mastercard,804855108682c6e94663f29488227e0aa0522b9a12," ",1,,,,,,
,4539139424130035,000000,000000038792,000000038792,000000038792,0102050000,3217,356,901,59,04,f94147,12,70015020,GROFERS11797900,9785209531197,586," ",WEB,visa,325bf35942109d1b6c5da4e569a7c8de0053490412," ",2,,,,,,
,6011656648431776,000000,000000026233,000000026233,000000026233,0102060000,3267,144,901,59,04,x47694,12,70007469,PAYUPAISA477790,9782783104106,524," ",WEB,rupay,e93fb9796811067c23691f3d05d873dbf1eff88512," ",3,,,,,,
,2436393306071142,000000,000000020710,000000020710,000000020710,0102090000,3193,524,901,52,04,j00019,12,70015020,GROFERS11797900,9792432988520,356," ",WEB,mastercard,5ad25d0bc62bcb80fbb0ef05cc353d2bf3ff6c2d12," ",2,,,,,,
,2720152444270080,000000,000000022397,000000022397,000000022397,0102100000,3226,356,901,59,04,o95890,12,70007469,PAYUPAISA477790,9780859881678,356," ",WEB,mastercard,29ca633e712abf1eff8254bbed201a706186d01f12," ",3,,,,,,
,5331235391528800,000000,000000027745,000000027745,000000027745,0102140000,7523,356,901,52,04,u13227,12,70011803,CLEARTRIP689430,9799513194450,356," ",WEB,mastercard,ccbf49be4f3e5ee2c5825902f9fc11c2fdfd050012," ",1,,,,,,
,6011830320992807,000000,000000019679,000000019679,000000019679,0102180000,3374,356,901,52,04,x74639,12,70015020,GROFERS11797900,9786650311796,356," ",WEB,rupay,9ad3b66839cbd88f3e50ac8cd34b6a3feb27750e12," ",2,,,,,,
,2608252458008801,280000,000000097912,000000097912,000000097912,0101010000,3370,356,901,59,04,m79013,12,70011803,CLEARTRIP689430,9783292623997,144," ",WEB,mastercard,d02dd7c1fc889952d443cb1aee78ab2982f0cef212," ",1,,,,,,
,5349216399619304,280000,000000080126,000000080126,000000080126,0102010000,3175,586,901,52,04,g94330,12,70007469,PAYUPAISA477790,9790735463577,144," ",WEB,mastercard,426b504e7a56dbe02eb3c7bb82beec386e0f820112," ",3,,,,,,
,6011462190438693,280000,000000001985,000000001985,000000001985,0102010000,3412,586,901,52,04,l36045,12,70011803,CLEARTRIP689430,9792662123784,586," ",WEB,rupay,4f9feee2f558bbb779f19b7c337ce9ec3f42778112," ",1,,,,,,
,5129482911245962,280000,000000080006,000000080006,000000080006,0102010000,3285,524,901,59,04,f37571,12,70015020,GROFERS11797900,9794891115677,524," ",WEB,mastercard,0d0fdee2416bd5affae32277418467025ec50aa812," ",2,,,,,,
